timeTick, roll, pitch, yaw, gyroX, gyroY, gyroZ, accX, accY, accZ, stateX, stateY, stateZ, target_x, target_y, target_z, otX, otY, otZ, otRoll, otPitch, otYaw, kalX, kalY, kalZ
33479, 0.0811062902212143, -0.08284461498260498, 0.05570019781589508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33489, 0.08032495528459549, -0.086739681661129, 0.055663008242845535, -0.02980676479637623, 0.6365455985069275, 0.08300357311964035, 0.00019880211038980633, -0.0028757748659700155, 0.9981284737586975, 0.059427410364151, -19.24790382385254, -0.20845244824886322, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0600760318338871, -19.260953903198242, -0.20857290923595428
33499, 0.07913146913051605, -0.08434426039457321, 0.055303264409303665, -0.28429916501045227, -0.3084567189216614, 0.02237086370587349, -0.0007059891941025853, -0.0032362656202167273, 1.0008174180984497, 0.0600760318338871, -19.260953903198242, -0.20857290923595428, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06072598323225975, -19.274009704589844, -0.20869404077529907
33509, 0.07931876927614212, -0.08557240664958954, 0.056589674204587936, 0.059196069836616516, 0.13990406692028046, 0.20596100389957428, 7.238633406814188e-05, -0.003928229212760925, 1.0016251802444458, 0.06072598323225975, -19.274009704589844, -0.20869404077529907, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06137728691101074, -19.28706932067871, -0.20881438255310059
33519, 0.07985052466392517, -0.08675842732191086, 0.05607639625668526, 0.06914036720991135, 0.16693167388439178, 0.06925765424966812, 0.0010425050277262926, -0.003067868761718273, 0.9988895058631897, 0.06137728691101074, -19.28706932067871, -0.20881438255310059, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.062030524015426636, -19.300134658813477, -0.2089339643716812
33529, 0.07975833863019943, -0.08441556990146637, 0.05489927530288696, -0.12040457874536514, -0.3830634355545044, -0.17695830762386322, 0.0004573366604745388, -0.002323469379916787, 0.9999935030937195, 0.062030524015426636, -19.300134658813477, -0.2089339643716812, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0626860037446022, -19.313203811645508, -0.20905408263206482
33539, 0.0797814205288887, -0.08679930865764618, 0.055766209959983826, 0.11992359161376953, 0.3636895716190338, -0.010706497356295586, -0.0010982344392687082, -0.0021799635142087936, 1.0001537799835205, 0.0626860037446022, -19.313203811645508, -0.20905408263206482, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06334321945905685, -19.326276779174805, -0.20917412638664246
33549, 0.07803138345479965, -0.08811017125844955, 0.056126076728105545, -0.268950492143631, 0.05449787154793739, -0.1429828405380249, -0.00010759977885754779, -0.0034283287823200226, 1.0013655424118042, 0.06334321945905685, -19.326276779174805, -0.20917412638664246, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06400161981582642, -19.339353561401367, -0.20929332077503204
33559, 0.07693743705749512, -0.0885087177157402, 0.055860377848148346, -0.08930491656064987, 0.1094406321644783, 0.09383915364742279, -0.0006937425932846963, -0.0012342926347628236, 0.9997830986976624, 0.06400161981582642, -19.339353561401367, -0.20929332077503204, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0646609514951706, -19.352434158325195, -0.20941171050071716
33569, 0.07740543782711029, -0.08992452174425125, 0.05512945353984833, 0.12421204894781113, 0.3220047652721405, -0.30718448758125305, 0.0017500993562862277, -0.0027563776820898056, 0.9982454180717468, 0.0646609514951706, -19.352434158325195, -0.20941171050071716, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06532204896211624, -19.36551856994629, -0.20953023433685303
33579, 0.07705666124820709, -0.09087302535772324, 0.05425889045000076, -0.25053468346595764, 0.08370921015739441, -0.2088489681482315, -0.0013914922019466758, -0.0036753106396645308, 0.9996827244758606, 0.06532204896211624, -19.36551856994629, -0.20953023433685303, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06598532944917679, -19.37860679626465, -0.2096499353647232
33589, 0.07774626463651657, -0.0892353430390358, 0.054599639028310776, 0.17086932063102722, -0.04275015741586685, 0.023489022627472878, -0.0037864528130739927, -0.005711479112505913, 0.9999902248382568, 0.06598532944917679, -19.37860679626465, -0.2096499353647232, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06664857268333435, -19.391698837280273, -0.209770068526268
33599, 0.07735756784677505, -0.09012166410684586, 0.05447235330939293, 0.03899751976132393, 0.17410901188850403, -0.03180650249123573, -0.0007945587276481092, -0.003986248280853033, 0.9993131160736084, 0.06664857268333435, -19.391698837280273, -0.209770068526268, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06731069087982178, -19.40479850769043, -0.20989033579826355
33609, 0.07696116715669632, -0.09004891663789749, 0.053145069628953934, -0.06509211659431458, 0.039072439074516296, -0.08276262134313583, -0.002079256810247898, -0.0040572695434093475, 0.9996830821037292, 0.06731069087982178, -19.40479850769043, -0.20989033579826355, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06797260046005249, -19.417903900146484, -0.21001121401786804
33619, 0.07719294726848602, -0.09212125092744827, 0.052512217313051224, 0.07693065702915192, 0.29454779624938965, -0.08027292042970657, -0.0016659633256495, -0.0038485489785671234, 1.0026158094406128, 0.06797260046005249, -19.417903900146484, -0.21001121401786804, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06863467395305634, -19.431013107299805, -0.21013157069683075
33629, 0.07871714234352112, -0.09158169478178024, 0.05277896672487259, 0.09215163439512253, -0.08341795951128006, -0.023019669577479362, -0.0003562488709576428, -0.00250648008659482, 1.0036677122116089, 0.06863467395305634, -19.431013107299805, -0.21013157069683075, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06929729133844376, -19.444128036499023, -0.21024957299232483
33639, 0.0796343982219696, -0.09106183797121048, 0.053451571613550186, 0.1858581155538559, -0.15429449081420898, -0.0321456715464592, -0.00044563107076101005, -0.0023413565941154957, 1.0000245571136475, 0.06929729133844376, -19.444128036499023, -0.21024957299232483, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06996104121208191, -19.457246780395508, -0.21036534011363983
33649, 0.08071596920490265, -0.09015176445245743, 0.05326239764690399, 0.2530743181705475, -0.06273113191127777, -0.24782811105251312, 0.00038831846904940903, -0.0030483873561024666, 1.0000804662704468, 0.06996104121208191, -19.457246780395508, -0.21036534011363983, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.06996104121208191, -19.457246780395508, -0.21036534011363983
33659, 0.08166845142841339, -0.08882502466440201, 0.05341523513197899, 0.1024942696094513, -0.20410369336605072, 0.06841256469488144, -0.002692663110792637, -0.0030446273740381002, 1.0010266304016113, 0.07069308310747147, -19.471681594848633, -0.2104920744895935, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07069308310747147, -19.471681594848633, -0.2104920744895935
33669, 0.08297231048345566, -0.08968434482812881, 0.0539107583463192, 0.23383118212223053, 0.14475582540035248, 0.19315670430660248, -0.001660574460402131, -0.00423214677721262, 1.0022847652435303, 0.07142600417137146, -19.486122131347656, -0.2106183022260666, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07142600417137146, -19.486122131347656, -0.2106183022260666
33679, 0.082753986120224, -0.08997678011655807, 0.05478338152170181, 0.016090642660856247, 0.004864156246185303, 0.09927998483181, -0.0021322595421224833, -0.0034250870812684298, 1.000799298286438, 0.07209183275699615, -19.49925422668457, -0.2107313573360443, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07209183275699615, -19.49925422668457, -0.2107313573360443
33689, 0.08221011608839035, -0.09139654040336609, 0.05398568883538246, 0.02524997666478157, 0.2562427222728729, -0.11312597990036011, -0.001201142556965351, -0.002253893529996276, 1.0004466772079468, 0.07275731861591339, -19.512392044067383, -0.2108428180217743, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07275731861591339, -19.512392044067383, -0.2108428180217743
33699, 0.08275730162858963, -0.0924450233578682, 0.053605012595653534, 0.05317486822605133, 0.06280185282230377, -0.160704106092453, -0.0002909866743721068, -0.0038166658487170935, 1.0015556812286377, 0.07342279702425003, -19.52553367614746, -0.21095356345176697, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07342279702425003, -19.52553367614746, -0.21095356345176697
33709, 0.08274191617965698, -0.09390412271022797, 0.0538712814450264, -0.009170991368591785, 0.11074081063270569, 0.06456950306892395, 0.0005537776742130518, -0.0016902852803468704, 0.9993162751197815, 0.07408900558948517, -19.538679122924805, -0.2110634595155716, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07408900558948517, -19.538679122924805, -0.2110634595155716
33719, 0.08255179226398468, -0.09527426213026047, 0.05418570712208748, 0.07571011036634445, 0.06894140690565109, 0.04133233428001404, 0.00027539118309505284, -0.0004060249775648117, 1.000972032546997, 0.07475696504116058, -19.551828384399414, -0.21117278933525085, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07475696504116058, -19.551828384399414, -0.21117278933525085
33729, 0.08205354958772659, -0.0943395271897316, 0.05375217646360397, -0.07161857187747955, -0.12699586153030396, 0.07907061278820038, -0.0010452455608174205, 0.0009538697777315974, 1.0001486539840698, 0.07542698085308075, -19.56498146057129, -0.21128174662590027, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07542698085308075, -19.56498146057129, -0.21128174662590027
33739, 0.08112875372171402, -0.09453676640987396, 0.05271856486797333, -0.07392415404319763, 0.12431100010871887, 0.040727730840444565, -0.0007532143499702215, -0.0031649835873395205, 0.9994856715202332, 0.07609812915325165, -19.578136444091797, -0.21139009296894073, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07609812915325165, -19.578136444091797, -0.21139009296894073
33749, 0.08189582824707031, -0.09529583156108856, 0.052755288779735565, 0.13736075162887573, 0.14136633276939392, -0.054423194378614426, 0.00169329100754112, -0.0022541051730513573, 0.999795138835907, 0.0767698734998703, -19.591293334960938, -0.21149827539920807, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0767698734998703, -19.591293334960938, -0.21149827539920807
33759, 0.08141010254621506, -0.09615891426801682, 0.052771907299757004, -0.1462165266275406, 0.08560263365507126, -0.019961629062891006, 0.0006853826926089823, -0.0045135426335036755, 0.9986129999160767, 0.07744336128234863, -19.604454040527344, -0.21160683035850525, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07744336128234863, -19.604454040527344, -0.21160683035850525
33769, 0.08146122843027115, -0.09610052406787872, 0.05018414556980133, 0.022003427147865295, 0.16022168099880219, -0.3367134630680084, -0.001287356368266046, -0.004300418309867382, 0.9998916387557983, 0.078119195997715, -19.61762046813965, -0.21171632409095764, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.078119195997715, -19.61762046813965, -0.21171632409095764
33779, 0.08049833029508591, -0.09540887922048569, 0.04944669082760811, -0.12349119782447815, -0.0851391851902008, 0.13248388469219208, -0.0005506317247636616, -0.002773355459794402, 0.998701274394989, 0.07879630476236343, -19.63079071044922, -0.21182675659656525, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07879630476236343, -19.63079071044922, -0.21182675659656525
33789, 0.08050487190485, -0.09602905809879303, 0.048683661967515945, 0.06524386256933212, 0.05162426456809044, 0.045677926391363144, -0.001046249526552856, -0.0035114597994834185, 1.0001670122146606, 0.07947427779436111, -19.643966674804688, -0.21193799376487732, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.07947427779436111, -19.643966674804688, -0.21193799376487732
33799, 0.07984672486782074, -0.09577000886201859, 0.04828803241252899, -0.15602385997772217, -0.05566881597042084, -0.12320456653833389, -0.0021700835786759853, -0.0015807623276486993, 1.001222014427185, 0.0801531970500946, -19.657146453857422, -0.21204952895641327, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0801531970500946, -19.657146453857422, -0.21204952895641327
33809, 0.08026949316263199, -0.09439318627119064, 0.04729428514838219, 0.02024686150252819, -0.21281203627586365, -0.15172070264816284, -0.0010207011364400387, -0.002275645500048995, 1.0020109415054321, 0.08083231002092361, -19.670330047607422, -0.21216028928756714, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08083231002092361, -19.670330047607422, -0.21216028928756714
33819, 0.0811089277267456, -0.09452984482049942, 0.04780701920390129, 0.09951138496398926, 0.040595024824142456, 0.137993723154068, -0.0003729994932655245, -0.002856196602806449, 1.000588059425354, 0.08151140064001083, -19.683517456054688, -0.21226952970027924, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08151140064001083, -19.683517456054688, -0.21226952970027924
33829, 0.0799759179353714, -0.0927414819598198, 0.046705473214387894, -0.24491749703884125, -0.34112802147865295, -0.20363064110279083, -0.0012738615041598678, -0.004378725308924913, 0.9984598755836487, 0.08219129592180252, -19.69670867919922, -0.21237756311893463, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08219129592180252, -19.69670867919922, -0.21237756311893463
33839, 0.08063819259405136, -0.09334370493888855, 0.04838401824235916, 0.047818779945373535, 0.03536723181605339, 0.13482528924942017, -0.0033107916824519634, -0.0026014584582298994, 0.998386800289154, 0.08287204802036285, -19.70990562438965, -0.21248604357242584, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08287204802036285, -19.70990562438965, -0.21248604357242584
33849, 0.07978548854589462, -0.0946585163474083, 0.04876738786697388, -0.1636515110731125, 0.17041093111038208, 0.06202736496925354, -0.0022955492604523897, -0.00182089873123914, 1.0004048347473145, 0.08355225622653961, -19.723108291625977, -0.2125958949327469, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08355225622653961, -19.723108291625977, -0.2125958949327469
33859, 0.08012352138757706, -0.09362354874610901, 0.04832884669303894, 0.12838228046894073, -0.1397603452205658, -0.007937340997159481, -0.001747792586684227, -0.00174092932138592, 0.9995014667510986, 0.08423131704330444, -19.736312866210938, -0.21270638704299927, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08423131704330444, -19.736312866210938, -0.21270638704299927
33869, 0.07964969426393509, -0.09352638572454453, 0.04718337953090668, -0.011605487205088139, 0.037910133600234985, -0.09217838943004608, -0.0013547070557251573, -0.003550110384821892, 1.0035221576690674, 0.08490996807813644, -19.749521255493164, -0.21281689405441284, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08490996807813644, -19.749521255493164, -0.21281689405441284
33879, 0.07952352613210678, -0.09314124286174774, 0.047791313380002975, -0.10038372874259949, -0.023588424548506737, 0.009968461468815804, 0.0001572506153024733, -0.0031116956379264593, 1.001060962677002, 0.085588738322258, -19.762733459472656, -0.21292607486248016, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.085588738322258, -19.762733459472656, -0.21292607486248016
33889, 0.08084174990653992, -0.09336996078491211, 0.048998940736055374, 0.2682601511478424, 0.0760381892323494, 0.1685253083705902, -0.0006208634003996849, -0.004395519383251667, 0.999797523021698, 0.08626840263605118, -19.775951385498047, -0.21303319931030273, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08626840263605118, -19.775951385498047, -0.21303319931030273
33899, 0.08073825389146805, -0.0946388691663742, 0.049268320202827454, -0.04994119331240654, 0.23323167860507965, -0.06284300982952118, -0.0009631665889173746, -0.004279303830116987, 1.0004119873046875, 0.08694932609796524, -19.789173126220703, -0.21313966810703278, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08694932609796524, -19.789173126220703, -0.21313966810703278
33909, 0.0816238671541214, -0.09619220346212387, 0.050596192479133606, 0.17625418305397034, 0.2204713076353073, 0.2870728373527527, 0.00011842445383081213, -0.003369792364537716, 1.0008348226547241, 0.08763107657432556, -19.802400588989258, -0.21324607729911804, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08763107657432556, -19.802400588989258, -0.21324607729911804
33919, 0.0823315903544426, -0.09612566977739334, 0.05057593435049057, -0.0468437559902668, 0.09114711731672287, 0.05303464084863663, -7.800084858899936e-05, -0.0014452706091105938, 1.0019824504852295, 0.08831404149532318, -19.81563377380371, -0.21335181593894958, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08831404149532318, -19.81563377380371, -0.21335181593894958
33929, 0.0809907466173172, -0.0966719537973404, 0.050484780222177505, -0.22515100240707397, -0.10899781435728073, 0.1548129767179489, -0.0004292030062060803, -0.0028040444012731314, 1.0013431310653687, 0.0889987200498581, -19.82887077331543, -0.21345584094524384, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.0889987200498581, -19.82887077331543, -0.21345584094524384
33939, 0.08075574040412903, -0.09813686460256577, 0.0509912334382534, 0.08072374016046524, 0.19075709581375122, 0.20901072025299072, -0.0009710280573926866, -0.005244588945060968, 1.0003210306167603, 0.08968482911586761, -19.842111587524414, -0.21355806291103363, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.08968482911586761, -19.842111587524414, -0.21355806291103363
33949, 0.08082082122564316, -0.09499924629926682, 0.04978558421134949, 0.01034941803663969, -0.46319401264190674, -0.01869562827050686, -0.0011488526361063123, -0.004663678351789713, 1.000777006149292, 0.09037188440561295, -19.855356216430664, -0.21365933120250702, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.09037188440561295, -19.855356216430664, -0.21365933120250702
33959, 0.08034607023000717, -0.09462209045886993, 0.04977862536907196, -0.05906713753938675, -0.04212210699915886, 0.16716516017913818, -0.000566575035918504, -0.003133445279672742, 1.000540018081665, 0.09105952829122543, -19.868608474731445, -0.2137601673603058, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.09105952829122543, -19.868608474731445, -0.2137601673603058
33969, 0.08091356605291367, -0.09416148066520691, 0.05018499121069908, 0.10042855143547058, 0.02377438172698021, 0.02180313691496849, -0.0011719154426828027, -0.0029026505071669817, 0.9993593692779541, 0.09174799919128418, -19.881864547729492, -0.21386045217514038, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.09174799919128418, -19.881864547729492, -0.21386045217514038
33979, 0.08047064393758774, -0.09308170527219772, 0.04963872209191322, -0.039409149438142776, -0.12738817930221558, -0.024462604895234108, -0.0018401275156065822, -0.0022176376078277826, 1.0002431869506836, 0.092437244951725, -19.895126342773438, -0.213960662484169, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0.092437244951725, -19.895126342773438, -0.213960662484169
